Level,players,Attempts,Relative Churn,Global Churn,APS,Pure APS,% Revived,% Used Boosters,% Used PG Boosters,Avg Win (s),Avg Lose (s),Avg Moves Left,Avg Targets Left,Avg Switch,Avg Slingshots,Avg Hammers,Avg Rockets,Avg Colors,Avg PG Color,Avg PG Electric,Multi Stacks,Avg Combo,Avg SuperCombo,Avg MegaCombo,Avg BigCombo,Avg Electrics,Avg hottestTiles,hottestTile Progression,Momentum hottestTile,Momentum ColorRush,Avg inGameCoins,Quits
Level 248,62,122,0%,1%,1.21,7.18,11%,15%,4%,200,247,6,124,0.11,0.04,0.04,0.07,0.04,0.04,0,12,2.46,0.81,0.52,2.33,0.2,0.45,0.06,0.1,0.12,4.16,0
Level 249,62,113,0%,1%,1.12,8.69,17%,14%,10%,184,170,6,51,0.03,0.07,0.03,0,0.07,0.03,0.03,14,2.25,0.86,0.36,2.67,0.22,0.32,0.03,0.09,0.1,3.73,0
Level 250,62,110,2%,1%,1.09,6.47,15%,12%,4%,175,192,8,20,0.08,0,0,0.08,0.08,0.04,0,11,2.58,0.84,0.34,2.37,0.26,0.21,0.04,0.08,0.11,3.98,0
Level 251,61,114,0%,1%,1.15,7.13,19%,8%,8%,169,156,7,139,0.15,0,0.08,0.04,0,0.04,0,16,2.4,0.63,0.3,2.11,0.3,0.32,0,0.08,0.16,3.52,0
Level 252,61,118,2%,1%,1.19,6.21,18%,6%,3%,178,241,9,79,0.18,0.03,0,0.06,0,0.03,0,11,2.41,0.73,0.32,2.21,0.25,0.23,0.03,0.07,0.12,3.98,0
Level 253,60,107,0%,1%,1.09,6.29,13%,4%,4%,190,239,6,60,0.04,0,0,0.04,0,0.04,0,14,3.1,0.8,0.22,2.45,0.22,0.12,0.02,0.05,0.1,3.93,0
Level 254,60,108,0%,1%,1.1,7.2,15%,19%,4%,194,187,6,136,0.15,0.07,0.04,0.07,0.15,0.04,0,11,2.43,0.79,0.28,2.16,0.36,0.2,0,0.05,0.1,3.33,0
Level 255,60,113,0%,1%,1.15,8.69,14%,29%,11%,187,277,4,72,0.25,0.14,0.07,0.14,0.14,0.04,0,10,2.65,0.77,0.23,2,0.26,0.17,0,0.03,0.07,3.19,0
Level 256,60,122,0%,1%,1.24,6.42,3%,10%,7%,185,229,8,77,0.07,0.2,0,0.07,0.03,0.03,0.03,11,2.56,0.87,0.24,2.22,0.43,0.22,0,0.04,0.04,3.43,0
Level 257,60,110,2%,1%,1.12,6.88,11%,15%,4%,178,317,6,101,0.15,0.07,0.04,0.07,0.07,0.04,0,10,2.06,0.81,0.31,2.08,0.26,0.23,0.02,0.05,0.06,3.34,0
Level 258,59,111,0%,1%,1.16,7.4,17%,7%,7%,175,172,5,67,0.03,0.34,0,0.31,0,0.07,0.03,11,2.55,0.47,0.36,2.19,0.22,0.28,0.02,0.05,0.09,3.43,0
Level 259,59,110,0%,1%,1.15,6.11,12%,4%,0%,178,207,7,10,0.08,0,0,0.08,0.04,0,0,12,2.6,0.75,0.3,2.39,0.26,0.25,0,0.05,0.09,3.15,0
Level 260,59,116,0%,1%,1.21,6.44,12%,8%,12%,129,195,4,98,0.19,0,0,0.04,0.04,0.08,0,4,1.12,0.34,0.19,0.91,0.14,0.14,0,0.05,0.12,1.23,1
Level 261,59,109,2%,1%,1.14,6.81,13%,17%,10%,187,246,4,80,0.1,0.07,0.07,0.03,0.13,0.1,0,14,2.56,0.87,0.34,2.31,0.39,0.26,0,0.05,0.11,3.04,0
Level 262,58,110,2%,1%,1.17,7.86,20%,17%,0%,187,207,6,135,0.03,0.07,0.03,0,0.13,0,0,14,2.73,1.14,0.36,2.42,0.41,0.34,0.02,0.05,0.14,3.21,0
Level 263,57,98,2%,1%,1.05,7,19%,15%,4%,178,152,5,158,0.19,0.04,0.04,0.46,0.12,0.04,0,14,2.49,0.64,0.31,1.82,0.31,0.27,0,0.07,0.15,3.95,0
Level 264,56,102,0%,1%,1.11,6.38,11%,18%,4%,180,207,6,74,0.14,0.11,0.04,0.29,0.07,0,0.04,10,2.25,0.85,0.35,2,0.31,0.24,0,0.07,0.13,2.72,1
Level 265,56,97,0%,1%,1.05,6.47,13%,21%,13%,203,194,7,98,0.08,0,0.04,0.21,0.17,0.04,0.04,11,2.1,0.79,0.25,2.19,0.35,0.25,0.06,0.08,0.21,2.28,0
Level 266,56,104,2%,1%,1.13,7.43,19%,19%,4%,172,138,6,103,0.04,0,0.07,0.33,0,0,0.04,11,2.04,0.96,0.46,1.84,0.39,0.35,0,0.07,0.18,2.83,0
Level 267,55,103,0%,1%,1.13,6.44,0%,21%,8%,171,316,5,81,0.21,0.04,0.04,0.13,0.04,0.08,0,11,2.63,0.84,0.35,1.81,0.26,0.25,0.05,0.09,0.16,5.44,0
Level 268,55,99,0%,1%,1.09,6.19,13%,17%,4%,175,196,7,134,0,0.09,0.22,0.13,0,0.04,0,15,2.29,1.02,0.2,2.31,0.31,0.2,0.04,0.12,0.2,4.92,0
Level 269,55,101,0%,1%,1.11,6.31,11%,15%,4%,169,225,5,51,0.41,0,0.11,0.19,0,0.04,0,11,2,0.67,0.44,2.12,0.3,0.3,0.02,0.11,0.16,2.5,0
Level 270,55,116,0%,1%,1.27,7.25,20%,17%,7%,177,190,4,86,0.07,0.13,0,0.03,0.03,0.07,0.03,9,2.63,0.66,0.11,1.8,0.32,0.11,0,0.09,0.13,2.98,0
Level 271,55,106,2%,1%,1.19,7.07,17%,17%,8%,142,188,6,31,0.25,0.13,0.08,0,0.13,0.04,0,15,2.47,1.06,0.37,2.86,0.29,0.33,0.04,0.08,0.14,3.76,0
Level 272,54,107,0%,1%,1.2,5.63,7%,17%,3%,168,260,6,118,0.1,0.14,0.03,0,0.1,0.03,0,10,2.78,0.69,0.38,2.07,0.24,0.35,0,0.05,0.16,3.58,0
Level 273,54,103,2%,1%,1.16,5.72,18%,11%,11%,188,221,7,117,0.04,0.11,0.04,0,0.04,0.07,0.04,13,2.33,0.96,0.39,1.57,0.37,0.3,0,0.07,0.13,3.1,0
Level 274,53,91,2%,1%,1.03,5.06,9%,9%,9%,175,174,9,120,0.14,0.05,0,0.09,0.05,0.05,0.05,18,2.61,0.7,0.41,2.85,0.28,0.35,0,0.07,0.11,4.91,0
Level 275,52,97,2%,1%,1.11,6.06,8%,13%,13%,169,219,5,28,0.04,0.13,0,0.04,0.13,0.04,0,10,2.06,0.58,0.31,2.02,0.23,0.25,0,0.06,0.1,3.26,0
Level 276,51,96,0%,1%,1.13,6,10%,5%,10%,174,157,5,45,0.19,0,0,0,0.05,0.05,0,14,2.38,0.79,0.33,2.46,0.27,0.38,0,0.06,0.1,4.34,0
Level 277,51,93,2%,1%,1.09,6.2,14%,14%,5%,169,304,3,104,0.19,0,0,0.1,0.1,0.05,0,12,2.07,0.93,0.31,2.13,0.4,0.24,0.02,0.09,0.13,3.52,0
Level 278,50,94,0%,1%,1.13,7.23,18%,9%,5%,192,341,8,19,0.09,0.05,0,0.05,0,0.05,0,12,2.41,0.76,0.35,2.13,0.2,0.28,0.02,0.04,0.04,6.38,0
Level 279,50,95,0%,1%,1.14,8.64,14%,29%,5%,176,270,5,128,0.1,0.33,0.1,0.05,0.05,0.05,0,11,2.34,0.68,0.38,1.77,0.3,0.26,0.02,0.02,0.06,3.95,0
Level 280,50,95,2%,1%,1.17,6.79,7%,4%,4%,143,217,4,92,0.21,0.11,0,0,0,0.04,0,7,1.24,0.59,0.29,1.1,0.24,0.22,0,0.02,0.08,3.45,0
Level 281,49,84,0%,1%,1.04,6.46,10%,15%,10%,160,330,9,50,0.1,0.05,0,0.05,0.05,0.05,0,10,2.26,0.6,0.44,1.91,0.26,0.4,0.02,0.02,0.09,2.72,0
Level 282,49,90,0%,1%,1.11,6,16%,11%,5%,171,331,6,92,0,0,0,0,0.16,0.05,0,9,2.25,0.64,0.36,1.68,0.25,0.27,0.02,0.02,0.09,9.03,0
Level 283,49,94,0%,1%,1.16,9.4,15%,20%,10%,165,199,8,56,0.25,0.2,0.15,0.15,0.3,0.05,0,9,2.14,0.67,0.22,2,0.37,0.16,0.02,0.02,0.14,2.08,0
Level 284,49,94,0%,1%,1.16,6.71,23%,0%,5%,162,330,8,79,0.05,0,0,0,0,0,0.05,10,2.02,0.73,0.29,1.9,0.27,0.15,0.02,0.04,0.17,4.16,0
Level 285,49,83,0%,1%,1.02,7.55,17%,22%,11%,176,,8,117,0,0.17,0.22,0.17,0,0.06,0.06,11,2.58,0.98,0.27,1.85,0.31,0.13,0.02,0.02,0.17,6.71,0
Level 286,49,96,0%,1%,1.19,8.73,18%,9%,9%,198,175,5,14,0.09,0.18,0,0,0.05,0.09,0.09,10,1.93,0.59,0.26,2.09,0.2,0.22,0.02,0.02,0.13,2.26,0
Level 287,49,90,2%,1%,1.11,5.63,8%,0%,4%,156,287,6,103,0,0,0,0,0,0.04,0,12,2.84,0.76,0.28,2.38,0.3,0.18,0.02,0.02,0.14,7.32,0
Level 288,48,90,0%,1%,1.13,8.18,16%,16%,5%,179,248,5,357,0.11,0.11,0,0,0.05,0.05,0,11,2.32,0.7,0.34,1.82,0.11,0.27,0.02,0.05,0.14,2.89,0
Level 289,48,86,0%,1%,1.08,6.14,5%,9%,9%,178,131,4,81,0.05,0.05,0.18,0.05,0.05,0.05,0,10,2.41,0.51,0.18,2.18,0.22,0.16,0.02,0.04,0.16,3.05,1
Level 290,48,89,0%,1%,1.11,6.36,18%,0%,12%,169,309,6,,0.06,0,0,0,0,0.06,0,16,2.81,0.81,0.33,2.15,0.15,0.31,0.02,0.06,0.13,5.46,0
Level 291,48,90,0%,1%,1.13,6,19%,10%,10%,163,292,8,103,0.14,0.05,0,0,0.1,0.05,0,10,2.37,0.67,0.37,1.54,0.22,0.22,0.02,0.07,0.15,7.7,1
Level 292,48,95,0%,1%,1.17,7.92,13%,13%,4%,198,281,5,47,0.13,0.13,0,0,0.04,0.04,0,13,2.63,1.35,0.4,2.44,0.29,0.31,0.02,0.06,0.13,4.38,0
Level 293,48,90,0%,1%,1.13,8.18,18%,14%,5%,198,247,5,35,0.14,0.18,0.05,0.05,0,0.05,0,9,2.39,0.55,0.24,1.71,0.22,0.14,0.02,0.06,0.12,2.95,0
Level 294,48,89,-2%,1%,1.11,8.09,11%,22%,6%,211,330,3,3,0.11,0.17,0.11,0.11,0.06,0.06,0,11,2.23,0.91,0.27,1.89,0.18,0.25,0.02,0.07,0.09,3.94,0
Level 295,49,83,0%,1%,1.02,6.92,22%,11%,6%,216,425,7,142,0.11,0.06,0.06,0,0,0.06,0,14,2.33,0.88,0.21,2.4,0.21,0.17,0.02,0.07,0.12,5.35,0
Level 296,49,89,0%,1%,1.1,6.85,6%,17%,6%,171,246,6,12,0,0.11,0,0.06,0.06,0.06,0,9,2.5,1.02,0.25,2,0.17,0.21,0.02,0.06,0.12,3.05,0
Level 297,49,83,0%,1%,1.02,5.53,11%,6%,6%,162,400,4,,0,0,0,0.17,0,0.06,0,10,1.6,0.65,0.42,1.71,0.25,0.23,0.02,0.04,0.1,3.73,0
Level 298,49,90,2%,1%,1.11,6,14%,18%,14%,181,258,4,138,0.09,0.18,0,0,0,0.05,0,12,2.16,0.96,0.26,2.1,0.28,0.22,0.02,0.04,0.1,2.17,2
Level 299,48,95,0%,1%,1.2,7.92,14%,14%,7%,165,183,5,77,0.17,0,0.07,0.07,0.07,0.03,0,10,2.21,0.61,0.28,1.6,0.05,0.25,0.02,0.04,0.12,3.22,0
Level 300,48,94,4%,1%,1.24,7.83,3%,10%,7%,140,255,3,93,0.17,0.2,0.1,0,0.07,0.03,0.03,5,1.42,0.29,0.16,0.91,0.15,0.11,0,0.02,0.07,3.61,0
Level 301,46,88,2%,1%,1.16,11,24%,29%,6%,178,303,5,2,0.12,0.12,0.06,0.06,0.24,0.06,0,15,2.26,0.81,0.43,2.12,0.14,0.29,0,0.05,0.07,4.14,0
Level 302,45,79,0%,1%,1.05,6.58,24%,24%,6%,185,197,7,1,0,0.18,0,0.06,0.06,0.06,0,12,2.72,0.7,0.35,2,0.12,0.28,0,0.05,0.12,10.11,0
Level 303,45,81,0%,1%,1.08,7.36,16%,11%,5%,173,87,5,45,0,0.11,0,0,0,0.05,0,12,2.39,0.75,0.25,2.09,0.16,0.23,0,0.05,0.11,3.54,1
Level 304,45,79,0%,1%,1.05,7.9,31%,0%,6%,172,209,4,40,0.06,0,0,0,0,0.06,0,10,2.29,0.63,0.32,2.07,0.1,0.27,0,0.05,0.1,3.31,0
Level 305,45,80,0%,1%,1.07,7.27,29%,12%,6%,150,359,6,41,0.18,0.24,0,0,0.06,0.06,0,13,2.44,0.82,0.41,2.05,0.21,0.26,0,0.05,0.15,3.24,0
Level 306,45,82,0%,1%,1.09,8.2,29%,18%,6%,173,267,6,11,0.29,0.12,0.06,0.06,0,0.06,0,15,2.95,0.83,0.35,1.9,0.2,0.28,0,0.05,0.15,4.06,0
Level 307,45,82,0%,1%,1.09,6.83,22%,6%,6%,155,338,3,84,0,0.17,0,0,0,0.06,0,10,2.6,0.58,0.12,1.67,0.09,0.09,0,0.05,0.09,3.97,0
Level 308,45,83,0%,1%,1.11,6.38,11%,17%,6%,148,266,7,4,0,0,0,0.11,0.06,0.06,0,12,2.47,0.91,0.16,1.88,0.21,0.12,0,0.05,0.12,3.76,0
Level 309,45,90,2%,1%,1.2,7.5,16%,21%,5%,182,235,8,34,0.32,0.11,0,0,0.21,0.05,0,11,2.23,0.6,0.28,1.83,0.06,0.26,0.02,0.06,0.11,3.12,0
Level 310,44,73,0%,1%,1,5.21,13%,6%,19%,153,,9,,0.06,0.25,0,0,0,0.06,0,12,2.45,0.79,0.29,2.03,0.03,0.26,0,0.08,0.11,2.91,0
Level 311,44,75,2%,1%,1.03,7.5,29%,18%,0%,196,151,5,245,0.06,0.24,0,0,0.24,0,0,10,2.34,0.53,0.21,1.92,0.03,0.11,0,0.05,0.05,2.97,0
Level 312,43,77,0%,0%,1.08,6.42,20%,0%,0%,179,368,6,,0.07,0,0,0,0,0,0,15,2.59,0.72,0.41,1.87,0,0.38,0,0.05,0.1,5.31,0
Level 313,43,79,0%,0%,1.11,6.58,0%,20%,13%,178,398,8,,0,0.07,0,0.07,0.07,0.07,0,14,3.24,0.66,0.42,2.21,0,0.32,0.03,0.03,0.08,3.78,0
Level 314,43,73,0%,0%,1.03,6.64,27%,0%,7%,243,407,6,,0.07,0,0,0,0,0.07,0,13,3.05,1.03,0.51,1.51,0.05,0.43,0.03,0.03,0.05,3.89,0
Level 315,43,80,0%,0%,1.13,8,11%,22%,17%,177,157,6,70,0.11,0.28,0,0.11,0.17,0.11,0.06,11,2.15,0.49,0.29,1.85,0.02,0.24,0.02,0.02,0.07,3.38,0
Level 316,43,77,0%,0%,1.08,5.5,0%,6%,6%,175,383,8,78,0.11,0,0,0.17,0,0.06,0,11,2.95,0.63,0.53,1.75,0.05,0.48,0.03,0.03,0.1,6.53,0
Level 317,43,77,-2%,0%,1.08,7,6%,25%,13%,143,379,9,15,0.06,0.06,0,0.25,0.06,0.06,0,15,2.07,0.6,0.4,1.98,0.02,0.36,0.02,0.02,0.07,4.18,0
Level 318,44,81,2%,1%,1.13,7.36,11%,11%,11%,173,357,10,57,0.28,0.11,0.06,0.5,0.11,0.11,0.06,9,2.25,0.53,0.33,1.75,0.03,0.3,0.05,0.05,0.1,2.24,0
Level 319,43,75,0%,0%,1.06,6.25,7%,7%,14%,169,283,5,,0.07,0,0.07,0,0,0.07,0,11,2.97,0.78,0.14,1.78,0.08,0.17,0.08,0.06,0.11,2.74,0
Level 320,43,78,0%,0%,1.1,7.09,6%,19%,0%,145,101,3,201,0.13,0.06,0,0.06,0.19,0,0,7,1.42,0.31,0.22,1.08,0.03,0.14,0,0.08,0.08,5.06,1
Level 321,43,73,2%,0%,1.04,8.11,0%,31%,13%,175,139,3,78,0.94,0.19,0.06,0.44,0.13,0.13,0,10,2.23,0.69,0.2,1.94,0.03,0.2,0.03,0.09,0.11,2.32,0
Level 322,42,76,0%,0%,1.09,6.91,0%,20%,13%,160,240,7,1,0,0.07,0,0.07,0.33,0.07,0,13,2.58,0.71,0.26,1.63,0,0.24,0.03,0.08,0.11,3.76,0
Level 323,42,77,2%,0%,1.1,6.42,14%,7%,7%,185,285,8,,0.21,0.14,0,0,0,0.07,0,10,2.57,0.4,0.17,1.94,0,0.06,0.06,0.09,0.17,6.4,0
Level 324,41,70,0%,0%,1.03,6.36,14%,7%,7%,176,,6,,0,0.07,0,0.14,0.07,0.07,0,13,2.69,0.72,0.22,1.56,0.03,0.25,0.03,0.08,0.14,8.31,0
Level 325,41,70,2%,0%,1.09,11.67,38%,13%,6%,197,363,6,77,0.19,0.06,0,0.13,0,0.06,0,12,2.58,0.58,0.37,1.68,0.05,0.21,0.03,0.11,0.13,3.17,0
Level 326,40,68,0%,0%,1.03,6.8,29%,14%,7%,197,409,5,20,0.07,0.07,0.14,0,0.36,0.07,0,15,2.71,0.74,0.38,1.85,0.12,0.32,0.03,0.12,0.15,3.53,0
Level 327,40,73,3%,0%,1.11,6.64,0%,12%,6%,194,149,10,19,0.06,0.06,0,0.24,0.06,0.06,0,13,2.37,0.79,0.16,1.76,0.11,0.18,0.05,0.11,0.11,3.25,0
Level 328,39,65,0%,0%,1.02,9.29,25%,17%,8%,157,,6,,0.08,0,0,0,0.17,0.08,0,9,2.38,0.84,0.25,1.41,0.19,0.19,0.03,0.09,0.09,7.43,0
Level 329,39,66,3%,0%,1.03,7.33,31%,8%,15%,163,,5,,0.15,0.15,0,0,0,0.15,0,10,2.34,0.78,0.34,1.59,0.28,0.19,0.06,0.06,0.13,2.7,0
Level 330,38,62,0%,0%,1,6.2,17%,8%,8%,176,,7,,0,0,0,0.17,0,0.08,0,12,2.77,0.7,0.3,2.13,0,0.23,0,0.07,0.1,3.25,0
Level 331,38,75,0%,0%,1.21,8.33,23%,8%,8%,194,269,5,85,0.08,0.08,0,0,0.15,0.08,0,13,2.91,0.91,0.34,2.31,0.03,0.25,0.03,0.06,0.13,3.9,0
Level 332,38,64,3%,0%,1.03,6.4,17%,8%,8%,167,276,4,,0.17,0.08,0,0.08,0,0.08,0,17,2.8,0.53,0.33,2.4,0.13,0.23,0.03,0.03,0.1,4.96,0
Level 333,37,68,3%,0%,1.11,6.8,15%,15%,8%,182,187,6,64,0.15,0.15,0.15,0,0.08,0.08,0,9,2.09,0.59,0.24,1.68,0.12,0.12,0.03,0.03,0.12,3.56,1
Level 334,36,61,0%,0%,1.03,7.63,10%,10%,10%,190,,10,,0.1,0.1,0,0,0,0.1,0,10,2.69,0.45,0.31,1.55,0.1,0.31,0.03,0.03,0.14,2.63,0
Level 335,36,64,0%,0%,1.08,7.11,8%,17%,8%,177,205,6,126,0,0.17,0.17,0.17,0,0.08,0,10,2.48,0.55,0.35,1.74,0.06,0.32,0.03,0.03,0.16,2.41,0
Level 336,36,67,3%,0%,1.14,11.17,47%,13%,7%,174,214,4,73,0.07,0,0,0.13,0,0.07,0,15,2.54,0.97,0.3,2.3,0.22,0.19,0.03,0.03,0.14,8.26,0
Level 337,35,63,3%,0%,1.09,9,36%,9%,18%,171,120,8,1,0.09,0,0,0.09,0,0.18,0.09,13,2.64,0.79,0.18,2,0.18,0.11,0.04,0.04,0.14,3.77,0
Level 338,34,64,0%,0%,1.14,12.8,36%,27%,9%,174,274,5,3,0.27,0.09,0.27,0.27,0,0.09,0.09,14,2.33,0.57,0.47,1.8,0.13,0.4,0.03,0.07,0.13,6.43,0
Level 339,34,57,0%,0%,1.02,7.13,0%,20%,0%,180,,10,,0,0.1,0.1,0,0,0,0,10,2.44,0.59,0.26,1.56,0.11,0.22,0.04,0.07,0.11,3.84,0
Level 340,34,57,3%,0%,1.02,8.14,10%,30%,0%,144,,8,,0.1,0.3,0,0,0,0,0,11,2.21,0.79,0.28,1.76,0.07,0.21,0,0.03,0.07,2.27,0
Level 341,33,57,0%,0%,1.04,7.13,0%,11%,11%,169,,4,,0.11,0,0.11,0,0,0.11,0.11,10,2.52,0.7,0.33,1.81,0.22,0.22,0,0.04,0.07,3.5,0
Level 342,33,57,0%,0%,1.04,9.5,11%,33%,0%,169,406,4,,0.22,0.11,0.22,0.11,0,0,0,11,2.34,0.45,0.31,1.76,0.17,0.24,0,0.03,0.07,3.77,0
Level 343,33,57,0%,0%,1.04,11.4,22%,22%,0%,206,347,2,,0.11,0.11,0,0,0.11,0,0,9,2.55,0.61,0.29,2.32,0.13,0.16,0,0.03,0.1,4.1,0
Level 344,33,57,0%,0%,1.04,7.13,11%,0%,11%,178,,6,,0.11,0,0,0,0,0,0,12,2.41,0.89,0.26,2.3,0.11,0.26,0,0.04,0.22,3.08,0
Level 345,33,60,0%,0%,1.11,10,30%,10%,0%,204,331,4,105,0,0.1,0,0,0.1,0,0,10,2.71,0.82,0.14,1.82,0.11,0.07,0,0.04,0.11,3.15,0
Level 346,33,60,0%,0%,1.11,10,11%,33%,0%,219,273,6,,0.78,0.89,0.22,0.11,0.11,0,0,9,2.1,0.59,0.28,1.34,0.07,0.28,0.03,0.03,0.1,2.7,0
Level 347,33,55,0%,0%,1.02,6.11,0%,10%,0%,178,,5,,0.5,0,0,0.1,0,0,0,8,2.19,0.33,0.15,1.37,0.04,0.07,0.04,0.04,0.15,2.88,0
Level 348,33,64,3%,0%,1.19,7.11,17%,0%,0%,189,344,7,15,0.17,0,0,0,0,0,0,11,2.73,0.67,0.47,1.83,0.03,0.3,0,0.07,0.13,3.14,0
Level 349,32,53,0%,0%,1,8.83,33%,11%,11%,189,,4,,0.11,0,0,0.11,0.11,0,0.11,13,2.33,0.88,0.33,1.54,0.21,0.21,0.04,0.08,0.13,3.61,0
Level 350,32,54,0%,0%,1.02,9,22%,33%,0%,203,238,6,,0.11,0.11,0,0,0.22,0,0,11,2.42,0.54,0.25,1.67,0,0.17,0.04,0.08,0.17,3.91,0
Level 351,32,56,0%,0%,1.06,9.33,20%,20%,10%,187,417,10,64,0.1,0.1,0.1,0.1,0.1,0,0.1,10,2.32,0.75,0.25,1.79,0.18,0.21,0.07,0.07,0.14,3.56,0
Level 352,32,55,0%,0%,1.04,6.88,0%,11%,0%,159,144,6,,0,0,0,0,0.11,0,0,12,3.25,0.58,0.38,1.54,0.04,0.29,0.04,0.08,0.13,4,0
Level 353,32,59,0%,0%,1.11,9.83,27%,18%,9%,165,388,5,41,0.27,0,0,0.09,0.09,0,0.09,9,2.68,0.65,0.26,1.87,0.06,0.23,0.03,0.06,0.1,4.63,0
Level 354,32,54,0%,0%,1.02,6,10%,0%,0%,177,,4,,0.1,0,0,0,0,0,0,9,2.07,0.48,0.22,1.78,0,0.19,0,0.07,0.07,4.5,0
Level 355,32,55,0%,0%,1.04,6.11,9%,0%,0%,179,126,11,92,0.27,0,0,0,0,0,0,10,1.93,0.78,0.22,1.74,0.07,0.22,0.04,0.07,0.07,3.23,0
Level 356,32,66,3%,0%,1.25,11,21%,36%,7%,183,197,4,49,0.57,0.07,0.21,0.14,0.21,0.07,0.07,7,1.97,0.3,0.14,1.32,0.05,0.14,0.03,0.05,0.05,3.38,0
Level 357,31,53,0%,0%,1.04,6.63,10%,0%,0%,160,341,7,168,0,0,0,0,0,0,0,10,2.67,0.38,0.33,1.96,0.08,0.25,0.04,0.08,0.08,2.96,1
Level 358,31,59,0%,0%,1.11,6.56,18%,9%,0%,170,227,4,1,0.09,0.09,0,0,0.09,0,0,10,2.6,0.6,0.24,1.64,0.08,0.16,0.04,0.08,0.08,3.38,0
Level 359,31,53,0%,0%,1.04,8.83,20%,20%,0%,175,431,7,114,0,0.1,0.3,0.1,0,0,0,14,2.64,0.82,0.41,1.55,0.09,0.32,0,0,0,4,0
Level 360,31,53,0%,0%,1.04,6.63,11%,0%,0%,162,319,4,,0,0,0,0,0,0,0,7,2.09,0.26,0.3,1.17,0,0.3,0,0,0.04,5.1,0
Level 361,31,51,0%,0%,1.02,7.29,20%,0%,0%,203,313,6,101,0,0,0,0,0,0,0,16,3,0.62,0.46,2.19,0.04,0.35,0,0,0.04,7.72,0
Level 362,31,58,3%,0%,1.14,8.29,11%,22%,0%,193,265,4,,0,0.11,0.22,0,0.11,0,0,16,2.96,0.61,0.17,1.91,0,0.13,0,0,0.04,4.36,0
Level 363,30,49,0%,0%,1,6.13,0%,0%,0%,145,,6,,0.25,0,0,0,0,0,0,11,1.73,1.05,0.36,2.23,0.09,0.32,0,0,0.18,2.76,0
Level 364,30,53,0%,0%,1.08,8.83,22%,11%,11%,166,230,4,30,0.11,0,0,0,0.11,0.11,0.11,9,2.29,0.24,0.29,1.71,0.1,0.24,0,0,0.14,3.45,0
Level 365,30,54,0%,0%,1.1,7.71,11%,11%,0%,189,326,4,110,0.11,0,0,0,0.22,0,0,10,3.64,0.56,0.36,1.92,0,0.24,0,0,0,4.79,0
Level 366,30,56,0%,0%,1.14,11.2,38%,0%,0%,173,248,10,,0.25,0,0,0,0,0,0,14,2.44,0.76,0.24,1.68,0.16,0.2,0,0,0,4.17,0
Level 367,30,53,0%,0%,1.08,10.6,40%,10%,10%,236,493,8,89,0.1,0.2,0,0,0,0.1,0,13,3.04,0.65,0.17,2.13,0.04,0.09,0,0,0.04,4.59,0
Level 368,30,55,3%,0%,1.12,7.86,11%,11%,0%,163,391,4,2,0,0,0,0.11,0,0,0,10,2,0.73,0.27,1.23,0.04,0.19,0,0,0.04,8.88,0
Level 369,29,48,0%,0%,1,8,13%,13%,25%,159,,8,,0,0,0.13,0,0,0.13,0.25,11,2.84,0.63,0.16,2.05,0.26,0.21,0,0,0.05,5.22,0
Level 370,29,48,0%,0%,1,6.86,0%,13%,0%,163,,4,,0.38,0,0.13,0,0,0,0,8,2.43,0.67,0.24,1.76,0.14,0.29,0,0,0.1,2.11,0
Level 371,29,52,0%,0%,1.08,10.4,13%,25%,0%,175,332,6,,0.13,0,0,0.25,0.13,0,0,15,2.73,0.91,0.5,2.23,0,0.45,0.05,0,0.14,4.6,0
Level 372,29,53,-3%,0%,1.1,10.6,17%,33%,0%,177,182,5,50,0.17,0.5,0.08,0,0,0,0,8,2.33,0.52,0.22,1.52,0.04,0.15,0,0.04,0.07,7.71,0
Level 373,30,52,0%,0%,1.06,8.67,11%,11%,0%,191,176,5,1,0.11,0,0.11,0,0,0,0,15,2.26,0.65,0.43,1.57,0.17,0.22,0,0.04,0.09,5.81,0
Level 374,30,51,0%,0%,1.04,10.2,33%,22%,11%,154,492,6,116,0,0,0.33,0,0.11,0,0.11,11,2.36,0.45,0.23,1.77,0.14,0.27,0.05,0.05,0.09,3.85,0
Level 375,30,51,0%,0%,1.04,12.75,25%,38%,0%,182,,7,,0.5,0.25,0.13,0.13,0.25,0,0,12,2.23,0.59,0.45,1.91,0.14,0.23,0.05,0.05,0.09,3.95,0
Level 376,30,49,0%,0%,1,8.17,0%,25%,0%,167,,3,,0.63,0.38,0,0.25,0.13,0,0,8,2.27,0.27,0.27,1.32,0.09,0.23,0.05,0.05,0.09,2.95,0
Level 377,30,55,0%,0%,1.12,11,33%,22%,0%,175,246,7,224,0.11,0.11,0.11,0,0.11,0,0,10,2.61,0.87,0.26,1.65,0.22,0.17,0.04,0.04,0.13,2.81,0
Level 378,30,53,0%,0%,1.08,8.83,20%,10%,20%,152,123,5,28,0.1,0.2,0,0.1,0,0.2,0.2,13,2.5,0.79,0.42,1.96,0.17,0.33,0.08,0.08,0.17,4.27,0
Level 379,30,55,3%,0%,1.12,9.17,30%,20%,10%,165,292,3,103,0.2,0.2,0.1,0,0.3,0,0.1,8,1.96,0.83,0.21,1.96,0.29,0.17,0.04,0.08,0.17,2.55,0
