Level,players,Attempts,Relative Churn,Global Churn,APS,Pure APS,% Revived,% Used Boosters,% Used PG Boosters,Avg Win (s),Avg Lose (s),Avg Moves Left,Avg Targets Left,Avg Switch,Avg Slingshots,Avg Hammers,Avg Rockets,Avg Colors,Avg PG Color,Avg PG Electric,Multi Stacks,Avg Combo,Avg SuperCombo,Avg MegaCombo,Avg BigCombo,Avg Electrics,Avg hottestTiles,hottestTile Progression,Momentum hottestTile,Momentum ColorRush,Avg inGameCoins,Quits
Level 80,415,629,0%,5%,1,2.59,0%,2%,0%,48,36,0,,0.06,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.15,0.23,0.32,0
Level 81,414,653,1%,5%,1.04,3.19,12%,6%,2%,147,159,4,6,0.11,0.03,0.02,0.02,0.03,0.01,0,12,2.53,0.77,0.26,2.55,0.11,0.18,0.02,0.14,0.22,1.44,0
Level 82,409,640,1%,5%,1.03,3.25,14%,5%,2%,157,187,5,13,0.11,0.04,0.01,0.04,0.02,0,0.02,12,2.27,1.17,0.5,1.63,0.09,0.43,0.04,0.14,0.21,1.92,0
Level 83,406,714,1%,5%,1.17,4.35,22%,9%,3%,226,271,4,51,0.12,0.06,0.04,0.07,0.02,0.02,0.01,13,3.34,0.8,0.41,2.42,0.13,0.27,0.03,0.09,0.16,3.04,0
Level 84,401,674,2%,5%,1.12,3.6,14%,9%,2%,209,230,6,52,0.21,0.03,0.02,0.08,0.04,0.01,0,6,2,0.3,0.07,1.24,0.11,0.07,0.04,0.1,0.3,2.3,0
Level 85,392,945,3%,5%,1.6,6.7,19%,21%,6%,253,245,5,24,0.19,0.17,0.12,0.17,0.06,0.04,0.03,11,3.22,0.59,0.14,2.13,0.19,0.17,0.04,0.07,0.13,5.34,0
Level 86,382,601,1%,4%,1.03,2.99,9%,5%,0%,184,210,5,19,0.11,0.03,0.01,0.03,0.02,0,0,15,2.35,1.57,0.52,2.71,0.25,0.4,0.03,0.11,0.2,2.63,0
Level 87,380,592,0%,4%,1.02,2.99,7%,9%,2%,158,165,8,49,0.11,0.05,0.02,0.03,0.03,0.01,0,6,1.62,0.35,0.1,1.13,0.05,0.04,0.03,0.11,0.2,1.73,0
Level 88,380,602,2%,4%,1.04,2.84,3%,4%,3%,169,187,10,53,0.1,0.03,0.01,0.03,0,0.02,0.01,9,2.75,0.58,0.2,1.79,0.11,0.1,0.03,0.11,0.22,2.3,0
Level 89,374,1231,4%,4%,2.23,18.1,28%,22%,6%,275,249,2,28,0.16,0.2,0.11,0.12,0.1,0.04,0.02,5,1.87,0.18,0.03,0.97,0.11,0.08,0.03,0.05,0.06,4.86,3
Level 90,358,564,1%,4%,1.03,3.22,11%,13%,4%,181,213,5,5,0.14,0.04,0.01,0.02,0.07,0.02,0.02,11,2.65,0.71,0.29,1.99,0.15,0.2,0.03,0.1,0.17,2.43,0
Level 91,356,553,2%,4%,1.02,2.74,3%,4%,1%,131,119,6,366,0.06,0.02,0.01,0.01,0,0.01,0,10,2.68,0.77,0.39,1.95,0.13,0.27,0.02,0.1,0.17,1.71,0
Level 92,349,833,3%,4%,1.6,32.04,31%,25%,8%,205,89,10,208,0.14,0.14,0.09,0.13,0.04,0.06,0.05,4,1.26,0.25,0.09,0.87,0.1,0.07,0.02,0.06,0.08,2.37,0
Level 93,338,678,4%,4%,1.35,6.11,28%,12%,4%,252,230,2,220,0.19,0.09,0.02,0.08,0.09,0.03,0.02,12,3.02,0.61,0.27,1.98,0.05,0.25,0.02,0.05,0.06,4.15,1
Level 94,324,732,1%,4%,1.5,6,16%,18%,4%,228,208,4,86,0.11,0.18,0.06,0.13,0.05,0.03,0.01,4,1.7,0.13,0.01,0.71,0.08,0.04,0.02,0.05,0.08,3.38,0
Level 95,320,632,2%,4%,1.31,5.96,28%,19%,10%,226,189,3,102,0.2,0.1,0.04,0.11,0.08,0.08,0.08,13,2.76,0.89,0.46,2.27,0.2,0.38,0.03,0.07,0.09,3.67,0
Level 96,314,1162,3%,4%,2.5,16.6,19%,17%,3%,266,214,2,14,0.12,0.13,0.12,0.14,0.07,0.02,0.01,3,1.28,0.06,0.01,0.5,0.04,0.03,0.02,0.03,0.03,2.84,1
Level 97,304,482,1%,4%,1.04,2.92,5%,7%,1%,152,173,9,47,0.07,0.09,0.04,0.05,0.01,0.01,0.01,7,2.26,0.39,0.15,1.44,0.04,0.06,0.02,0.07,0.09,1.91,0
Level 98,302,478,4%,3%,1.04,3.04,9%,6%,1%,214,296,9,94,0.12,0.04,0.04,0.02,0,0,0.01,15,4.03,0.92,0.45,2.56,0.14,0.28,0.03,0.07,0.11,3.46,0
Level 99,289,1073,10%,3%,2.67,214.6,28%,30%,9%,247,100,10,34,0.11,0.26,0.17,0.16,0.06,0.05,0.03,2,0.55,0.11,0.03,0.35,0.12,0.07,0.01,0.03,0.04,1.43,1
Level 100,259,416,0%,3%,1.05,2.87,0%,0%,0%,128,327,0,,0.02,0,0,0,0,0,0,3,0.29,0.24,0.32,0.38,0.13,0.2,0.01,0.08,0.12,4.23,0
Level 101,258,445,5%,3%,1.01,2.51,1%,1%,0%,117,145,12,,0.08,0,0,0.01,0,0,0,8,2.85,0.52,0.12,1.55,0.06,0.04,0.02,0.07,0.17,1.37,0
Level 102,244,470,1%,3%,1.26,6.44,20%,26%,4%,213,216,4,3,0.18,0.19,0.11,0.15,0.09,0.01,0.02,3,1.01,0.11,0.01,0.47,0.06,0.03,0.03,0.06,0.11,2.56,0
Level 103,241,377,0%,3%,1.02,3.04,0%,4%,0%,108,160,16,,0.09,0.02,0,0.02,0.01,0,0,6,1.86,0.48,0.04,1.42,0.1,0.02,0.01,0.07,0.14,1.53,0
Level 104,241,406,1%,3%,1.09,5.72,30%,12%,4%,248,241,2,61,0.25,0.04,0.05,0.07,0.07,0.01,0.01,8,3.08,0.32,0.06,1.35,0.07,0.05,0.04,0.07,0.25,3.63,0
Level 105,239,806,5%,3%,2.23,17.15,20%,27%,9%,213,211,4,2,0.21,0.14,0.11,0.19,0.11,0.06,0.06,1,0.44,0.02,0,0.19,0.07,0.05,0.02,0.03,0.06,2.49,0
Level 106,228,372,0%,3%,1.04,3.18,3%,7%,1%,182,204,12,15,0.06,0.01,0.04,0.05,0.02,0,0.01,10,2.53,0.51,0.14,2.07,0.09,0.1,0.03,0.07,0.14,2.33,0
Level 107,228,423,1%,3%,1.2,4.7,22%,17%,3%,219,255,7,11,0.14,0.14,0.07,0.08,0.07,0.02,0.01,21,3.77,1.51,0.66,3.05,0.27,0.5,0.05,0.06,0.14,5.53,0
Level 108,225,365,3%,3%,1.04,3.51,11%,8%,1%,243,220,6,61,0.12,0.05,0.01,0.03,0.03,0,0.01,21,4.05,1.57,0.9,3.89,0.28,0.72,0.03,0.07,0.16,5.06,0
Level 109,219,598,6%,3%,1.75,10.49,47%,14%,8%,273,258,3,136,0.13,0.11,0.04,0.12,0.08,0.05,0.06,22,3.44,1.39,0.84,3.02,0.26,0.74,0.03,0.05,0.06,6.55,0
Level 110,206,686,6%,2%,2.2,24.5,33%,14%,5%,294,240,2,139,0.2,0.16,0.05,0.15,0.05,0.03,0.03,9,3.25,0.31,0.13,1.89,0.09,0.15,0.02,0.03,0.03,7.76,1
Level 111,194,324,1%,2%,1.06,4.05,13%,16%,4%,191,259,8,190,0.1,0.22,0.11,0.22,0.04,0.02,0.02,15,2.88,0.76,0.33,2.74,0.15,0.24,0.03,0.07,0.08,3.94,0
Level 112,192,346,1%,2%,1.15,5.24,23%,18%,2%,243,210,3,112,0.21,0.12,0.07,0.14,0.04,0.01,0.01,11,3.49,0.39,0.06,1.88,0.09,0.04,0.03,0.06,0.07,4.31,0
